PASS
ok  	github.com/olekukonko/tablewriter	0.296s
?   	github.com/olekukonko/tablewriter/cmd/csv2table	[no test files]
goos: darwin
goarch: arm64
pkg: github.com/olekukonko/tablewriter/pkg/twwarp
cpu: Apple M2
BenchmarkWrapString-8             	   10486	    112255 ns/op	   48490 B/op	      33 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAfalse_NoCache-8       	 1000000	      1034 ns/op	     185 B/op	       6 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAfalse_NoCache-8       	 1000000	      1031 ns/op	     185 B/op	       6 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAfalse_NoCache-8       	 1000000	      1033 ns/op	     185 B/op	       6 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAfalse_NoCache-8       	 1000000	      1036 ns/op	     185 B/op	       6 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAfalse_NoCache-8       	 1000000	      1030 ns/op	     185 B/op	       6 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAfalse_NoCache-8       	 1000000	      1032 ns/op	     185 B/op	       6 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAfalse_CacheMiss-8     	  976075	      1359 ns/op	     438 B/op	       7 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAfalse_CacheMiss-8     	 5914158	      1202 ns/op	     326 B/op	       6 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAfalse_CacheMiss-8     	 6486156	       310.8 ns/op	     104 B/op	       2 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAfalse_CacheMiss-8     	 6281860	       215.5 ns/op	      87 B/op	       1 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAfalse_CacheMiss-8     	 6301224	       217.2 ns/op	      87 B/op	       1 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAfalse_CacheMiss-8     	 6339326	       216.9 ns/op	      87 B/op	       1 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAfalse_CacheHit-8      	78287031	        14.82 ns/op	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAfalse_CacheHit-8      	81032948	        14.75 ns/op	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAfalse_CacheHit-8      	81695869	        14.72 ns/op	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAfalse_CacheHit-8      	81188506	        14.74 ns/op	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAfalse_CacheHit-8      	81402841	        14.82 ns/op	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAfalse_CacheHit-8      	80837568	        14.74 ns/op	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAtrue_NoCache-8        	  885660	      1331 ns/op	     185 B/op	       6 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAtrue_NoCache-8        	  911023	      1317 ns/op	     185 B/op	       6 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAtrue_NoCache-8        	  916484	      1361 ns/op	     185 B/op	       6 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAtrue_NoCache-8        	  906549	      1326 ns/op	     185 B/op	       6 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAtrue_NoCache-8        	  909044	      1320 ns/op	     185 B/op	       6 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAtrue_NoCache-8        	  862621	      1318 ns/op	     185 B/op	       6 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAtrue_CacheMiss-8      	  784008	      1648 ns/op	     375 B/op	       7 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAtrue_CacheMiss-8      	 2237067	      1052 ns/op	     264 B/op	       5 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAtrue_CacheMiss-8      	 6529144	      1216 ns/op	     260 B/op	       5 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAtrue_CacheMiss-8      	 6255489	       217.1 ns/op	      87 B/op	       1 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAtrue_CacheMiss-8      	 6363784	       218.2 ns/op	      87 B/op	       1 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAtrue_CacheMiss-8      	 6457428	       218.5 ns/op	      87 B/op	       1 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAtrue_CacheHit-8       	80472776	        14.76 ns/op	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAtrue_CacheHit-8       	80991240	        14.79 ns/op	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAtrue_CacheHit-8       	81123105	        14.76 ns/op	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAtrue_CacheHit-8       	81942954	        14.71 ns/op	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAtrue_CacheHit-8       	81299892	        14.74 ns/op	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAtrue_CacheHit-8       	81476997	        14.86 ns/op	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsian_EAfalse_NoCache-8           	 1583836	       745.3 ns/op	     145 B/op	       3 allocs/op
BenchmarkWidthFunction/EastAsian_EAfalse_NoCache-8           	 1606008	       749.5 ns/op	     145 B/op	       3 allocs/op
BenchmarkWidthFunction/EastAsian_EAfalse_NoCache-8           	 1595468	       751.0 ns/op	     145 B/op	       3 allocs/op
BenchmarkWidthFunction/EastAsian_EAfalse_NoCache-8           	 1614628	       744.7 ns/op	     145 B/op	       3 allocs/op
BenchmarkWidthFunction/EastAsian_EAfalse_NoCache-8           	 1612303	       756.3 ns/op	     145 B/op	       3 allocs/op
BenchmarkWidthFunction/EastAsian_EAfalse_NoCache-8           	 1596921	       746.6 ns/op	     145 B/op	       3 allocs/op
