PASS
ok  	github.com/olekukonko/tablewriter	0.281s
?   	github.com/olekukonko/tablewriter/cmd/csv2table	[no test files]
goos: darwin
goarch: arm64
pkg: github.com/olekukonko/tablewriter/pkg/twwarp
cpu: Apple M2
BenchmarkWidthFunction/ASCIIWithANSI_EAfalse_NoCache-8       	  601116	      1939 ns/op	     701 B/op	       9 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAfalse_NoCache-8       	  616288	      1938 ns/op	     701 B/op	       9 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAfalse_NoCache-8       	  620388	      1936 ns/op	     701 B/op	       9 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAfalse_NoCache-8       	  619588	      1936 ns/op	     702 B/op	       9 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAfalse_NoCache-8       	  622332	      1936 ns/op	     702 B/op	       9 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAfalse_NoCache-8       	  621010	      1934 ns/op	     702 B/op	       9 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAfalse_CacheMiss-8     	  536523	      2427 ns/op	    1019 B/op	      10 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAfalse_CacheMiss-8     	 1000000	      1258 ns/op	     538 B/op	       6 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAfalse_CacheMiss-8     	 6872312	      2179 ns/op	     840 B/op	       9 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAfalse_CacheMiss-8     	 6565074	       209.9 ns/op	      87 B/op	       1 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAfalse_CacheMiss-8     	 6286528	       215.0 ns/op	      87 B/op	       1 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAfalse_CacheMiss-8     	 6379316	       216.4 ns/op	      87 B/op	       1 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAfalse_CacheHit-8      	77880144	        14.76 ns/op	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAfalse_CacheHit-8      	81166771	        14.74 ns/op	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAfalse_CacheHit-8      	81510199	        14.71 ns/op	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAfalse_CacheHit-8      	81175238	        14.74 ns/op	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAfalse_CacheHit-8      	81205220	        14.72 ns/op	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAfalse_CacheHit-8      	81387890	        14.73 ns/op	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAtrue_NoCache-8        	  521214	      2263 ns/op	     702 B/op	       9 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAtrue_NoCache-8        	  535485	      2261 ns/op	     702 B/op	       9 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAtrue_NoCache-8        	  523062	      2266 ns/op	     702 B/op	       9 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAtrue_NoCache-8        	  533830	      2247 ns/op	     702 B/op	       9 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAtrue_NoCache-8        	  535408	      2243 ns/op	     704 B/op	       9 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAtrue_NoCache-8        	  532072	      2254 ns/op	     701 B/op	       9 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAtrue_CacheMiss-8      	  466662	      2747 ns/op	    1012 B/op	      10 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAtrue_CacheMiss-8      	 1000000	      1601 ns/op	     607 B/op	       6 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAtrue_CacheMiss-8      	 6839064	      2491 ns/op	     839 B/op	       9 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAtrue_CacheMiss-8      	 6479132	       210.1 ns/op	      87 B/op	       1 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAtrue_CacheMiss-8      	 6277725	       217.5 ns/op	      87 B/op	       1 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAtrue_CacheMiss-8      	 6335620	       215.0 ns/op	      87 B/op	       1 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAtrue_CacheHit-8       	78074804	        14.77 ns/op	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAtrue_CacheHit-8       	81172486	        14.71 ns/op	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAtrue_CacheHit-8       	81276721	        14.74 ns/op	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAtrue_CacheHit-8       	81460405	        14.71 ns/op	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAtrue_CacheHit-8       	81237286	        14.73 ns/op	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAtrue_CacheHit-8       	81486447	        14.72 ns/op	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsian_EAfalse_NoCache-8           	  786777	      1466 ns/op	     485 B/op	       6 allocs/op
BenchmarkWidthFunction/EastAsian_EAfalse_NoCache-8           	  812743	      1458 ns/op	     485 B/op	       6 allocs/op
BenchmarkWidthFunction/EastAsian_EAfalse_NoCache-8           	  819368	      1458 ns/op	     485 B/op	       6 allocs/op
BenchmarkWidthFunction/EastAsian_EAfalse_NoCache-8           	  824661	      1456 ns/op	     484 B/op	       6 allocs/op
BenchmarkWidthFunction/EastAsian_EAfalse_NoCache-8           	  822010	      1473 ns/op	     484 B/op	       6 allocs/op
BenchmarkWidthFunction/EastAsian_EAfalse_NoCache-8           	  822766	      1459 ns/op	     484 B/op	       6 allocs/op
BenchmarkWidthFunction/EastAsian_EAfalse_CacheMiss-8         	  681840	      1966 ns/op	     792 B/op	       7 allocs/op
BenchmarkWidthFunction/EastAsian_EAfalse_CacheMiss-8         	 1513538	       800.3 ns/op	     289 B/op	       4 allocs/op
