goos: darwin
goarch: arm64
pkg: github.com/olekukonko/tablewriter/pkg/twwarp
cpu: Apple M2
BenchmarkWidthFunction/SimpleASCII_EAtrue_CacheHit-8         	81066932	        14.71 ns/op	2379.53 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAtrue_CacheHit-8         	80833027	        14.98 ns/op	2336.13 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAtrue_CacheHit-8         	81808189	        14.71 ns/op	2378.91 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAtrue_CacheHit-8         	81738301	        14.70 ns/op	2380.91 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAtrue_CacheHit-8         	81916154	        14.70 ns/op	2381.04 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAtrue_CacheHit-8         	81730646	        14.70 ns/op	2380.86 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAfalse_NoCache-8       	 1000000	      1020 ns/op	  59.79 MB/s	     185 B/op	       6 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAfalse_NoCache-8       	 1000000	      1013 ns/op	  60.23 MB/s	     185 B/op	       6 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAfalse_NoCache-8       	 1000000	      1009 ns/op	  60.47 MB/s	     185 B/op	       6 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAfalse_NoCache-8       	 1000000	      1012 ns/op	  60.31 MB/s	     185 B/op	       6 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAfalse_NoCache-8       	 1000000	      1019 ns/op	  59.88 MB/s	     185 B/op	       6 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAfalse_NoCache-8       	 1000000	      1021 ns/op	  59.75 MB/s	     185 B/op	       6 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAfalse_CacheMiss-8     	 1000000	      1331 ns/op	  45.84 MB/s	     437 B/op	       7 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAfalse_CacheMiss-8     	 6894190	      1210 ns/op	  50.43 MB/s	     321 B/op	       7 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAfalse_CacheMiss-8     	 6548847	       221.1 ns/op	 275.84 MB/s	      87 B/op	       1 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAfalse_CacheMiss-8     	 6557384	       218.4 ns/op	 279.30 MB/s	      87 B/op	       1 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAfalse_CacheMiss-8     	 6474885	       217.1 ns/op	 280.96 MB/s	      87 B/op	       1 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAfalse_CacheMiss-8     	 6556641	       228.8 ns/op	 266.62 MB/s	      87 B/op	       1 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAfalse_CacheHit-8      	80642001	        14.98 ns/op	4072.18 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAfalse_CacheHit-8      	80439510	        14.88 ns/op	4100.17 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAfalse_CacheHit-8      	81132704	        14.80 ns/op	4122.10 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAfalse_CacheHit-8      	81301044	        14.79 ns/op	4123.72 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAfalse_CacheHit-8      	80055814	        14.87 ns/op	4101.44 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAfalse_CacheHit-8      	80352882	        14.91 ns/op	4090.18 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAtrue_NoCache-8        	 1000000	      1017 ns/op	  59.96 MB/s	     185 B/op	       6 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAtrue_NoCache-8        	 1000000	      1008 ns/op	  60.51 MB/s	     185 B/op	       6 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAtrue_NoCache-8        	 1000000	      1013 ns/op	  60.20 MB/s	     185 B/op	       6 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAtrue_NoCache-8        	 1000000	      1017 ns/op	  59.95 MB/s	     185 B/op	       6 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAtrue_NoCache-8        	 1000000	      1010 ns/op	  60.40 MB/s	     185 B/op	       6 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAtrue_NoCache-8        	 1000000	      1057 ns/op	  57.69 MB/s	     185 B/op	       6 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAtrue_CacheMiss-8      	 1000000	      1327 ns/op	  45.97 MB/s	     436 B/op	       7 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAtrue_CacheMiss-8      	 6935161	      1207 ns/op	  50.52 MB/s	     322 B/op	       7 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAtrue_CacheMiss-8      	 6605172	       218.3 ns/op	 279.43 MB/s	      87 B/op	       1 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAtrue_CacheMiss-8      	 6242892	       215.8 ns/op	 282.73 MB/s	      87 B/op	       1 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAtrue_CacheMiss-8      	 6535297	       220.6 ns/op	 276.47 MB/s	      87 B/op	       1 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAtrue_CacheMiss-8      	 6469231	       221.8 ns/op	 275.07 MB/s	      87 B/op	       1 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAtrue_CacheHit-8       	80958002	        14.77 ns/op	4129.46 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAtrue_CacheHit-8       	81266626	        14.71 ns/op	4146.82 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAtrue_CacheHit-8       	81469851	        14.71 ns/op	4146.80 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAtrue_CacheHit-8       	81726933	        14.72 ns/op	4145.24 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAtrue_CacheHit-8       	81651165	        14.75 ns/op	4134.41 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/ASCIIWithANSI_EAtrue_CacheHit-8       	81682201	        14.72 ns/op	4144.86 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsian_EAfalse_NoCache-8           	 3549255	       337.0 ns/op	 178.02 MB/s	     145 B/op	       3 allocs/op
BenchmarkWidthFunction/EastAsian_EAfalse_NoCache-8           	 3571045	       338.1 ns/op	 177.49 MB/s	     145 B/op	       3 allocs/op
BenchmarkWidthFunction/EastAsian_EAfalse_NoCache-8           	 3507097	       334.1 ns/op	 179.60 MB/s	     145 B/op	       3 allocs/op
BenchmarkWidthFunction/EastAsian_EAfalse_NoCache-8           	 3563218	       335.6 ns/op	 178.78 MB/s	     145 B/op	       3 allocs/op
BenchmarkWidthFunction/EastAsian_EAfalse_NoCache-8           	 3598323	       333.6 ns/op	 179.83 MB/s	     145 B/op	       3 allocs/op
BenchmarkWidthFunction/EastAsian_EAfalse_NoCache-8           	 3602028	       336.4 ns/op	 178.36 MB/s	     145 B/op	       3 allocs/op
BenchmarkWidthFunction/EastAsian_EAfalse_CacheMiss-8         	 2994865	       405.8 ns/op	 147.86 MB/s	     204 B/op	       3 allocs/op
BenchmarkWidthFunction/EastAsian_EAfalse_CacheMiss-8         	 6079582	       485.3 ns/op	 123.64 MB/s	     232 B/op	       3 allocs/op
BenchmarkWidthFunction/EastAsian_EAfalse_CacheMiss-8         	 6006912	       226.0 ns/op	 265.49 MB/s	      87 B/op	       1 allocs/op
BenchmarkWidthFunction/EastAsian_EAfalse_CacheMiss-8         	 5812836	       227.7 ns/op	 263.51 MB/s	      87 B/op	       1 allocs/op
BenchmarkWidthFunction/EastAsian_EAfalse_CacheMiss-8         	 5328870	       221.7 ns/op	 270.59 MB/s	      87 B/op	       1 allocs/op
