goos: darwin
goarch: arm64
pkg: github.com/olekukonko/tablewriter/pkg/twwarp
cpu: Apple M2
BenchmarkWidthFunction/EastAsian_EAtrue_CacheHit-8         	81594259	        14.72 ns/op	4075.56 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsian_EAtrue_CacheHit-8         	81901713	        14.71 ns/op	4079.04 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsian_EAtrue_CacheHit-8         	80833707	        14.71 ns/op	4079.75 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsian_EAtrue_CacheHit-8         	81993816	        14.72 ns/op	4077.10 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsian_EAtrue_CacheHit-8         	81916624	        14.74 ns/op	4069.50 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAfalse_NoCache-8 	  838200	      1391 ns/op	  62.57 MB/s	     193 B/op	       5 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAfalse_NoCache-8 	  874951	      1380 ns/op	  63.03 MB/s	     193 B/op	       5 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAfalse_NoCache-8 	  872214	      1376 ns/op	  63.24 MB/s	     193 B/op	       5 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAfalse_NoCache-8 	  876159	      1377 ns/op	  63.17 MB/s	     193 B/op	       5 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAfalse_NoCache-8 	  871789	      1393 ns/op	  62.44 MB/s	     193 B/op	       5 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAfalse_NoCache-8 	  871582	      1383 ns/op	  62.89 MB/s	     193 B/op	       5 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAfalse_CacheMiss-8         	  743851	      1706 ns/op	  51.00 MB/s	     547 B/op	       7 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAfalse_CacheMiss-8         	 1881112	       949.3 ns/op	  91.64 MB/s	     330 B/op	       4 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAfalse_CacheMiss-8         	 6413824	      1328 ns/op	  65.49 MB/s	     399 B/op	       6 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAfalse_CacheMiss-8         	 6295143	       217.7 ns/op	 399.64 MB/s	     103 B/op	       1 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAfalse_CacheMiss-8         	 6434049	       224.3 ns/op	 387.81 MB/s	     105 B/op	       2 allocs/op
BenchmarkWidthFunction/EastAsianWithANSI_EAfalse_CacheMiss-8         	 6452682	       225.5 ns/op	 385.83 MB/s	     104 B/op	       2 allocs/op
